Date,Open,High,Low,Volume,NSE_Close,Close
01-07-2016,243.300003,259.75,242.600006,27944232,8328.349609,252.350006
04-07-2016,254,254,244,13996866,8370.700195,244.899994
05-07-2016,245.850006,247,242.199997,8989659,8335.950195,243.550003
07-07-2016,244.5,248.649994,243.899994,8960871,8337.900391,247
08-07-2016,247.399994,247.399994,242.5,6899736,8323.200195,245.850006
11-07-2016,248.300003,251.600006,246.75,7268008,8467.900391,249.149994
12-07-2016,250.949997,251.949997,247,4143359,8521.049805,248.399994
13-07-2016,248.449997,249.199997,246,4343149,8519.5,247.100006
14-07-2016,247,251,245.100006,6091985,8565,248.699997
15-07-2016,249,252.550003,247.550003,9345945,8541.400391,248.850006
18-07-2016,249.050003,249.949997,247.600006,6825393,8508.700195,248.899994
19-07-2016,249,250,245.600006,6721210,8528.549805,249.050003
20-07-2016,249.050003,252,247.949997,9312596,8565.849609,250.25
21-07-2016,253,253.5,246.5,11716926,8510.099609,250.600006
22-07-2016,253.149994,256.200012,247.149994,15780372,8541.200195,249.850006
25-07-2016,249.5,252,249,8870687,8635.650391,251.75
26-07-2016,251.649994,253.550003,250.5,6817790,8590.650391,251.75
27-07-2016,251,253.699997,246.300003,8898401,8615.799805,247.399994
28-07-2016,249.399994,255.399994,248.25,11350187,8666.299805,254.300003
29-07-2016,254.199997,256.5,251.399994,12129756,8638.5,252.449997
01-08-2016,252,255.199997,249.550003,9557988,8636.549805,250.600006
02-08-2016,251,262,251,16779344,8622.900391,260.799988
03-08-2016,260,260,251.25,10985767,8544.849609,252.699997
04-08-2016,254,254.850006,250.199997,8661776,8551.099609,252.100006
05-08-2016,252.149994,256.5,251.100006,4365077,8683.150391,252.550003
08-08-2016,253,254.75,249.5,8415212,8711.349609,249.949997
09-08-2016,250,250,246.100006,9358418,8678.25,247.649994
10-08-2016,248,248.399994,245.800003,5255295,8575.299805,246.5
11-08-2016,247,252.800003,246.550003,10744356,8592.150391,251.649994
12-08-2016,250.550003,255.5,250.300003,8284563,8592,254.100006
16-08-2016,254.25,258,253.449997,10293289,8642.549805,255.100006
17-08-2016,254.550003,256.75,252.199997,8328306,8624.049805,253.699997
18-08-2016,254.399994,255.399994,251.5,6682090,8673.25,252.149994
19-08-2016,252,252.399994,249.75,5326232,8666.900391,250.949997
22-08-2016,251.649994,254.75,251.5,4184797,8629.150391,254.100006
23-08-2016,254.399994,255,250.300003,6446460,8632.599609,251.399994
